marketing_id,campaign_group_id,product_id,product_segment,promotion_type,discount_value,target_customer_type,promotion_date,duration_days,channel,budget,actual_cost
MKT_03769d23,CAMP_404e2990,PROD_e5f3253c,Produits grand public,produit_gratuit,-436.07,bronze,2024-10-11,8.0,email,1628.0,1189.21
MKT_45622f5a,CAMP_404e2990,PROD_fd077023,,remboursement_immediat,27.24,or,2018-05-31,3.0,email,6045.0,5604.75
MKT_555dbc30,CAMP_404e2990,PROD_09a63aeb,Produits grand public,produit_gratuit,53.19,platine,2024-03-21,18.0,email,500.0,500.18
MKT_e5c51a8e,CAMP_404e2990,PROD_c45630d4,Produits grand public,pourcentage_remise,10.99,platine,2025-01-12,9.0,email,15669.0,19210.86
MKT_94eb62f8,CAMP_404e2990,PROD_1541e780,,pourcentage_remise,8.0,or,2020-09-13,5.0,email,13327.0,16545.01
MKT_99bfc37f,CAMP_b57b1f47,PROD_53e903c5,Produits de niche,produit_gratuit,18.16,or,2018-01-29,22.0,email,14444.0,15806.9
MKT_09301bf1,CAMP_b57b1f47,PROD_de7db016,Produits grand public,pourcentage_remise,19.06,bronze,2016-03-06,4.0,TV,7076.0,6082.33
MKT_2433af26,CAMP_b57b1f47,PROD_6a423d4d,Produits grand public,produit_gratuit,280.38,argent,2023-11-06,13.0,SMS,16192.0,14094.36
MKT_e9cf94cd,CAMP_b57b1f47,PROD_70c8adc6,Produits grand public,pourcentage_remise,9.16,bronze,2021-07-13,13.0,email,14445.0,14160.16
MKT_4402b8b2,CAMP_d0741328,PROD_b545e9e6,Produits de niche,pourcentage_remise,16.06,or,2023-06-17,22.0,email,5654.0,4472.98
MKT_4dac25f5,CAMP_d0741328,PROD_c520b909,Produits grand public,remboursement_immediat,19.96,platine,2022-05-22,9.0,email,10260.0,10412.57
MKT_f76a5e0d,CAMP_d0741328,PROD_0916a381,Produits grand public,Inconnu,,argent,2022-01-27,15.0,email,11579.0,10464.25
MKT_647ce14e,CAMP_d0741328,PROD_971d3eb0,Produits grand public,produit_gratuit,80.31,or,2025-08-02,16.0,,3949.0,3540.08
MKT_279468b8,CAMP_d0741328,PROD_065273d0,Produits grand public,pourcentage_remise,22.16,bronze,2023-02-15,15.0,email,9898.0,11621.3
MKT_18bd0efe,CAMP_c5193667,PROD_543941e7,Produits grand public,remboursement_immediat,39.18,Inconnu,2025-03-14,,email,4520.0,4736.78
MKT_01545bf5,CAMP_c5193667,PROD_efaae5cf,,remboursement_immediat,3.06,or,2021-02-03,29.0,SMS,500.0,396.73
MKT_9f0f8e17,CAMP_c5193667,PROD_aaefb28d,Produits de niche,remboursement_immediat,32.02,argent,2022-12-29,29.0,email,14314.0,16612.32
MKT_b4443ebd,CAMP_c5193667,PROD_8f0df4a1,,produit_gratuit,9.51,bronze,2023-08-04,27.0,SMS,500.0,633.02
MKT_1cb940fb,CAMP_c5193667,PROD_cda0843f,Produits grand public,Inconnu,6.2,Inconnu,2020-04-27,16.0,email,16012.0,19205.1
MKT_c1b2d2c2,CAMP_c5193667,PROD_a88f3620,Produits grand public,produit_gratuit,6.76,or,2023-03-02,25.0,email,5167.0,6484.21
MKT_150f5761,CAMP_0863c91c,PROD_69b16fac,Produits de niche,pourcentage_remise,11.25,Inconnu,2015-03-29,4.0,SMS,12074.0,9102.13
MKT_4313fea4,CAMP_0863c91c,PROD_5463c06a,,pourcentage_remise,5.05,platine,2018-09-01,20.0,SMS,14039.0,12921.3
MKT_68c7149e,CAMP_0863c91c,PROD_2a08e6d4,Produits grand public,pourcentage_remise,12.83,argent,2020-09-24,27.0,email,14086.0,10000.81
MKT_c2eac913,CAMP_0863c91c,PROD_c6c871b9,,pourcentage_remise,10.56,argent,2015-08-16,,SMS,15414.0,11655.26
MKT_579fce27,CAMP_0863c91c,PROD_fd077023,Produits grand public,Inconnu,,or,2019-01-29,,,1496.0,1706.45
MKT_002bc958,CAMP_0863c91c,PROD_c2402c8c,Produits grand public,pourcentage_remise,21.74,bronze,2022-02-27,3.0,TV,6215.0,7664.4
MKT_7396a43e,CAMP_0863c91c,PROD_7e1c5a57,Produits grand public,pourcentage_remise,7.7,platine,2016-06-04,20.0,email,500.0,579.16
MKT_ff59372a,CAMP_ba1f8f47,PROD_33eac6db,,Inconnu,,argent,2020-12-18,22.0,SMS,23138.0,19726.64
MKT_eb8ff626,CAMP_ba1f8f47,PROD_fa55ddd4,Produits de niche,produit_gratuit,61.93,Inconnu,2017-02-02,8.0,SMS,10006.0,8268.48
MKT_1e004164,CAMP_ba1f8f47,PROD_bcd28638,Produits grand public,pourcentage_remise,17.09,or,2018-12-23,28.0,email,14191.0,14570.36
MKT_b0515d8a,CAMP_3cbea4c0,PROD_27434432,Produits de niche,pourcentage_remise,7.16,or,2017-06-11,21.0,email,3902.0,4412.94
MKT_042a0ce7,CAMP_3cbea4c0,PROD_50b599f1,Produits grand public,remboursement_immediat,24.55,argent,2019-04-21,28.0,SMS,30164.0,22220.5
MKT_df333585,CAMP_3cbea4c0,PROD_469654f9,Produits grand public,produit_gratuit,4.05,platine,2021-07-11,26.0,email,500.0,417.08
MKT_bcf73a1c,CAMP_3cbea4c0,PROD_0c7d3706,Produits grand public,remboursement_immediat,21.89,bronze,2024-08-07,20.0,email,5761.0,6932.43
MKT_887db2a6,CAMP_3cbea4c0,PROD_1f713cbf,Produits de niche,pourcentage_remise,7.15,Inconnu,2020-12-23,10.0,SMS,11533.0,9029.55
MKT_f49fa645,CAMP_8ed1e15e,PROD_52c22b6a,Produits de niche,Inconnu,-5.68,Inconnu,2024-07-12,26.0,email,500.0,604.78
MKT_64370d79,CAMP_8ed1e15e,PROD_f8d13d7c,Produits grand public,remboursement_immediat,44.06,platine,2019-07-04,15.0,SMS,11918.0,14014.43
MKT_438a286f,CAMP_8ed1e15e,PROD_c56bc9df,Produits grand public,pourcentage_remise,23.01,bronze,2016-10-25,9.0,TV,500.0,626.91
MKT_02966591,CAMP_8ed1e15e,PROD_949b9899,Produits de niche,produit_gratuit,-147.16,Inconnu,2021-03-16,27.0,SMS,11438.0,14395.33
MKT_79d9c3f9,CAMP_8ed1e15e,PROD_543941e7,Produits de niche,pourcentage_remise,23.3,bronze,2024-03-29,19.0,email,11146.0,8999.81
MKT_22004cab,CAMP_e7b94ff2,PROD_2e4fc2b1,Produits grand public,pourcentage_remise,17.44,platine,2015-11-04,4.0,email,9774.0,11703.54
MKT_80edcea5,CAMP_e7b94ff2,PROD_989751da,Produits de niche,pourcentage_remise,23.86,platine,2015-04-20,15.0,SMS,5234.0,4484.06
MKT_e600b886,CAMP_e7b94ff2,PROD_d87dcae0,Produits grand public,remboursement_immediat,24.79,bronze,2017-03-13,8.0,email,7511.0,9171.59
MKT_0326daff,CAMP_e7b94ff2,PROD_ca01b616,Produits grand public,remboursement_immediat,13.32,argent,2015-02-15,23.0,email,10814.0,11785.76
MKT_f88b8271,CAMP_e7b94ff2,PROD_d69f6288,Produits grand public,produit_gratuit,26.49,bronze,2023-02-17,15.0,TV,5519.0,5915.96
MKT_142003c5,CAMP_e7b94ff2,PROD_4b9367a4,Produits grand public,Inconnu,,argent,2019-01-09,6.0,email,13266.0,11070.8
MKT_4e69e86a,CAMP_85be20d8,PROD_dcea998f,Produits grand public,pourcentage_remise,13.83,bronze,2020-05-31,9.0,SMS,28817.0,23223.09
MKT_f40fd67b,CAMP_85be20d8,PROD_66d3c289,Produits de niche,produit_gratuit,10.64,bronze,2020-08-05,22.0,email,26114.0,22390.77
MKT_70ff51c0,CAMP_85be20d8,PROD_de377a76,Produits grand public,pourcentage_remise,24.28,platine,2024-07-06,,email,12358.0,13909.88
MKT_32d22a66,CAMP_85be20d8,PROD_d163dcc5,Produits grand public,Inconnu,,argent,2023-08-27,28.0,email,500.0,411.22
MKT_4340bcf9,CAMP_85be20d8,PROD_f756d309,Produits grand public,remboursement_immediat,27.8,platine,2020-10-18,27.0,email,8477.0,10746.48
MKT_99d61e8e,CAMP_84c90af4,PROD_feec0f74,Produits grand public,pourcentage_remise,10.02,platine,2017-01-03,8.0,SMS,21382.0,17785.78
MKT_b00bbd77,CAMP_84c90af4,PROD_ac69c99f,,remboursement_immediat,-260.27,or,2018-12-13,25.0,TV,3891.0,3710.14
MKT_f67bd57a,CAMP_84c90af4,PROD_3b8e6ceb,Produits grand public,remboursement_immediat,21.45,or,2015-10-12,13.0,TV,13851.0,12656.17
MKT_ddf057f4,CAMP_84c90af4,PROD_f189b945,Produits grand public,pourcentage_remise,25.53,bronze,2023-02-21,,TV,4506.0,4325.11
MKT_87756075,CAMP_90deadf4,PROD_efaae5cf,Produits grand public,pourcentage_remise,9.16,or,2023-02-14,24.0,SMS,25017.0,30420.47
MKT_f96e2b45,CAMP_90deadf4,PROD_a88f3620,Produits grand public,pourcentage_remise,18.11,argent,2024-04-07,28.0,email,14509.0,18571.44
MKT_577d5e5b,CAMP_90deadf4,PROD_0b2c2374,Produits grand public,produit_gratuit,17.11,or,2018-01-03,26.0,,24186.0,22267.19
MKT_8f46ce10,CAMP_1069a528,PROD_3322afd7,Produits de niche,produit_gratuit,54.47,argent,2018-10-22,7.0,email,914.0,742.93
MKT_c4e0dfac,CAMP_1069a528,PROD_16c6ab81,Produits grand public,pourcentage_remise,18.98,or,2018-07-23,22.0,email,3017.0,3520.02
MKT_c2274f76,CAMP_775c5e56,PROD_81c9ce00,Produits de niche,pourcentage_remise,24.84,or,2017-01-11,20.0,email,31793.0,32761.81
MKT_f5150761,CAMP_a9176a6b,PROD_bcf99e89,Produits grand public,pourcentage_remise,17.4,platine,2025-04-27,19.0,SMS,500.0,629.4
MKT_711ab354,CAMP_a9176a6b,PROD_e5a44fe0,Produits grand public,pourcentage_remise,11.42,bronze,2024-08-27,30.0,SMS,20874.0,20628.8
MKT_21f5b859,CAMP_a9176a6b,PROD_74954930,Produits grand public,pourcentage_remise,26.62,or,2021-03-28,9.0,SMS,11602.0,9259.53
MKT_01d4df5a,CAMP_a9176a6b,PROD_64ffaafb,Produits de niche,pourcentage_remise,18.86,argent,2016-06-29,17.0,SMS,6603.0,5584.1
MKT_cdac28f6,CAMP_a9176a6b,PROD_3a018a4d,Produits de niche,pourcentage_remise,29.74,bronze,2025-02-23,11.0,TV,17966.0,21043.85
MKT_a5016424,CAMP_ba1f8f47,PROD_8f0df4a1,Produits grand public,remboursement_immediat,14.2,bronze,2019-09-17,6.0,email,23016.0,21978.59
MKT_06efc3fd,CAMP_ba1f8f47,PROD_16002fe3,,pourcentage_remise,5.2,argent,2019-10-29,30.0,SMS,10575.0,12148.63
MKT_a3e10b86,CAMP_ba1f8f47,PROD_3ae36b2d,Produits grand public,remboursement_immediat,12.23,bronze,2022-10-07,3.0,email,11338.0,7996.83
MKT_ef500f1b,CAMP_e7b94ff2,PROD_7d9855a0,Produits de niche,produit_gratuit,43.62,or,2020-01-19,7.0,email,500.0,613.9
MKT_8ad6379a,CAMP_e7b94ff2,PROD_16d7b24f,Produits grand public,pourcentage_remise,13.78,argent,2024-01-29,14.0,email,3038.0,3918.3
MKT_8937da7a,CAMP_e7b94ff2,PROD_72590de6,Produits de niche,produit_gratuit,6.67,bronze,2016-02-27,20.0,SMS,19953.0,20657.54
MKT_ac8cd6f2,CAMP_3cbea4c0,PROD_b7d91c4c,Produits grand public,remboursement_immediat,18.42,platine,2025-04-22,30.0,SMS,1749.0,2210.89
MKT_6c67cbc7,CAMP_3cbea4c0,PROD_286c5081,,pourcentage_remise,20.41,or,2015-01-24,27.0,SMS,7159.0,8200.69
MKT_268117df,CAMP_3cbea4c0,PROD_1f10a2b0,,remboursement_immediat,27.41,argent,2020-05-17,11.0,TV,8024.0,5734.01
MKT_2a1e2e89,CAMP_3cbea4c0,PROD_7bfaec97,Produits grand public,pourcentage_remise,8.36,argent,2017-07-17,26.0,,500.0,620.5
MKT_9795df12,CAMP_3cbea4c0,PROD_7bfaec97,Produits grand public,remboursement_immediat,24.14,platine,2016-09-16,22.0,email,8684.0,11165.28
MKT_d342b2fc,CAMP_3cbea4c0,PROD_2a2632e6,Produits grand public,pourcentage_remise,17.31,Inconnu,2023-04-26,21.0,TV,10742.0,8752.85
MKT_5352cc10,CAMP_ab561280,PROD_6a423d4d,Produits de niche,pourcentage_remise,19.9,platine,2025-06-27,30.0,email,4252.0,5365.23
MKT_36ca453e,CAMP_ab561280,PROD_1cda7f23,,pourcentage_remise,29.01,bronze,2015-09-16,29.0,email,12559.0,13970.98
MKT_c5b1b246,CAMP_ab561280,PROD_09a63aeb,Produits de niche,pourcentage_remise,16.59,platine,2025-01-27,21.0,email,32300.0,23255.09
MKT_2d74456d,CAMP_ab561280,PROD_dab2a95b,Produits grand public,pourcentage_remise,25.3,argent,2022-04-14,29.0,TV,7513.0,7661.73
MKT_7f3b78a3,CAMP_ab561280,PROD_1d1ed819,Produits grand public,remboursement_immediat,10.96,or,2024-10-09,18.0,SMS,500.0,360.76
MKT_88a942b7,CAMP_ef6835ea,PROD_0b2c2374,Produits grand public,produit_gratuit,17.11,Inconnu,2020-10-11,22.0,TV,18425.0,13591.05
MKT_7ef8bfb2,CAMP_ef6835ea,PROD_236e1217,Produits de niche,produit_gratuit,20.82,or,2025-12-05,4.0,SMS,17761.0,13511.66
MKT_d0f9bb5b,CAMP_ef6835ea,PROD_7434a9f1,Produits de niche,pourcentage_remise,23.47,or,2023-08-26,4.0,,19213.0,19048.33
MKT_e87296d1,CAMP_ef6835ea,PROD_1f885ef3,Produits grand public,pourcentage_remise,20.94,platine,2021-04-30,22.0,email,12804.0,10963.72
MKT_2b20fc71,CAMP_ef6835ea,PROD_e5a44fe0,Produits grand public,pourcentage_remise,25.02,bronze,2021-11-20,15.0,TV,11245.0,9514.6
MKT_5a2e2ace,CAMP_ef6835ea,PROD_3109e4df,Produits grand public,pourcentage_remise,28.87,or,2016-08-02,25.0,email,5432.0,5569.06
MKT_e522095b,CAMP_1069a528,PROD_94fbb7c4,Produits grand public,pourcentage_remise,11.34,argent,2025-08-31,24.0,SMS,20758.0,16590.49
MKT_8654a7a2,CAMP_1069a528,PROD_2e7ff4b0,Produits de niche,pourcentage_remise,29.12,platine,2023-08-14,21.0,TV,18006.0,14788.25
MKT_3f72d0ec,CAMP_1069a528,PROD_0dd0647d,,pourcentage_remise,24.49,bronze,2015-03-28,29.0,TV,500.0,481.53
MKT_64178b26,CAMP_1069a528,PROD_5974bb56,Produits grand public,remboursement_immediat,22.75,or,2024-07-02,25.0,SMS,6452.0,6188.54
MKT_acf7caf8,CAMP_1069a528,PROD_694664d9,Produits grand public,pourcentage_remise,17.39,argent,2025-01-28,30.0,SMS,500.0,545.56
MKT_061bc9ab,CAMP_1069a528,PROD_38309b74,Produits de niche,remboursement_immediat,8.64,platine,2017-07-14,25.0,email,10214.0,9318.86
MKT_d96551ad,CAMP_e7b94ff2,PROD_3daf4b0a,Produits de niche,produit_gratuit,175.71,argent,2022-08-13,24.0,,500.0,588.78
MKT_c310157c,CAMP_e7b94ff2,PROD_642e270d,Produits grand public,remboursement_immediat,3.35,argent,2018-12-09,,email,6784.0,7059.69
MKT_f7c55d79,CAMP_e7b94ff2,PROD_b301f04f,Produits grand public,pourcentage_remise,15.98,bronze,2022-01-09,5.0,email,11033.0,10474.76
MKT_6ea01548,CAMP_07f3c139,PROD_a300b224,Produits grand public,produit_gratuit,9.68,Inconnu,2025-03-29,6.0,email,2595.0,3079.23
MKT_ff974da4,CAMP_07f3c139,PROD_96afc512,Produits de niche,pourcentage_remise,12.77,argent,2019-11-14,,email,15777.0,16807.59
MKT_277c63e8,CAMP_07f3c139,PROD_45b0e07f,Produits grand public,Inconnu,,or,2020-09-25,10.0,TV,18220.0,15867.74
MKT_e468aec4,CAMP_0863c91c,PROD_63bbf3c6,Produits grand public,pourcentage_remise,15.64,bronze,2023-08-31,23.0,TV,500.0,469.42
MKT_0adaa573,CAMP_0863c91c,PROD_1734cf6c,Produits grand public,produit_gratuit,61.7,argent,2016-12-06,18.0,email,12214.0,13004.62
MKT_1dc4edc3,CAMP_41703ab1,PROD_6c8267aa,Produits de niche,pourcentage_remise,5.23,Inconnu,2018-05-21,,email,761.0,724.42
MKT_f7454c91,CAMP_41703ab1,PROD_c573dfaa,Produits grand public,produit_gratuit,-79.87,Inconnu,2016-06-01,10.0,,8715.0,10042.98
MKT_c8fe75d6,CAMP_41703ab1,PROD_b5819181,Produits grand public,remboursement_immediat,15.76,bronze,2016-04-18,10.0,SMS,3141.0,3572.24
MKT_916cbeec,CAMP_ba1f8f47,PROD_6f435020,Produits grand public,pourcentage_remise,12.88,or,2020-12-11,7.0,email,8207.0,10473.2
MKT_fc848d49,CAMP_ba1f8f47,PROD_6a4fe51b,Produits grand public,pourcentage_remise,5.97,platine,2024-09-24,22.0,SMS,9630.0,11452.52
MKT_37055db9,CAMP_ba1f8f47,PROD_902bd408,Produits grand public,produit_gratuit,3.02,Inconnu,2018-06-09,22.0,SMS,13876.0,17464.61
MKT_7b96cd8d,CAMP_ba1f8f47,PROD_6c9c1dfc,Produits de niche,pourcentage_remise,5.17,bronze,2020-04-22,8.0,TV,23268.0,25551.62
MKT_abf7bb11,CAMP_ba1f8f47,PROD_0c7d3706,Produits de niche,pourcentage_remise,10.3,or,2019-02-27,27.0,email,21268.0,24993.4
MKT_a0ccdd5d,CAMP_ab880a57,PROD_4629d4bc,Produits grand public,remboursement_immediat,3.6,or,2025-01-29,27.0,email,13845.0,14228.58
MKT_e3ebb9ad,CAMP_ab880a57,PROD_4b57bc61,Produits grand public,Inconnu,,or,2020-06-05,17.0,SMS,5574.0,6586.12
MKT_8d9c902f,CAMP_ab880a57,PROD_f17cb82d,Produits de niche,pourcentage_remise,27.38,bronze,2016-09-06,5.0,TV,12967.0,11109.8
MKT_ecf1346b,CAMP_ab880a57,PROD_bcd28638,Produits grand public,pourcentage_remise,26.67,or,2015-10-16,4.0,SMS,14320.0,10382.94
MKT_94871e5b,CAMP_ab880a57,PROD_aab8500d,Produits de niche,pourcentage_remise,15.67,or,2017-10-17,5.0,email,14471.0,18382.19
MKT_d5e913ce,CAMP_704dd874,PROD_065273d0,Produits de niche,pourcentage_remise,9.91,or,2017-11-13,21.0,email,18377.0,18114.06
MKT_929b9088,CAMP_704dd874,PROD_ef645b66,Produits grand public,pourcentage_remise,9.83,bronze,2025-04-11,18.0,email,13230.0,16822.58
MKT_21a5e8cd,CAMP_704dd874,PROD_61255443,Produits grand public,pourcentage_remise,13.92,platine,2021-01-22,10.0,email,12557.0,10318.32
MKT_27a3d0db,CAMP_704dd874,PROD_8011daf4,Produits de niche,produit_gratuit,10.9,platine,2025-12-29,16.0,TV,20181.0,17120.49
MKT_769f83e4,CAMP_704dd874,PROD_b2540c40,Produits grand public,pourcentage_remise,10.72,platine,2022-09-22,29.0,SMS,10797.0,7732.6
MKT_17991a6d,CAMP_90deadf4,PROD_969a99b5,,produit_gratuit,46.78,platine,2025-11-06,,email,14566.0,14944.04
MKT_4dab825b,CAMP_90deadf4,PROD_1177af14,Produits grand public,Inconnu,,argent,2024-07-05,26.0,email,15281.0,15474.17
MKT_ba04b2de,CAMP_90deadf4,PROD_8c0c970c,Produits grand public,pourcentage_remise,10.17,bronze,2017-01-20,3.0,TV,7022.0,8294.11
MKT_8bd63e74,CAMP_c3d5984e,PROD_b13cf763,Produits de niche,pourcentage_remise,29.19,or,2016-10-28,23.0,email,20210.0,24870.31
MKT_01c3fe98,CAMP_ef6835ea,PROD_d6697da1,Produits grand public,pourcentage_remise,25.83,argent,2016-09-11,23.0,SMS,6035.0,7760.47
MKT_c15e3ec9,CAMP_ef6835ea,PROD_63d921bb,Produits de niche,Inconnu,,argent,2015-10-09,15.0,email,500.0,372.8
MKT_68383d80,CAMP_3428bd0e,PROD_7e282561,Produits grand public,Inconnu,,or,2018-02-23,28.0,email,500.0,578.86
MKT_47cbd29c,CAMP_3428bd0e,PROD_4c4ce3c3,Produits de niche,pourcentage_remise,11.47,argent,2018-03-28,9.0,TV,500.0,585.14
MKT_b826574c,CAMP_3428bd0e,PROD_855f9a05,Produits grand public,remboursement_immediat,33.51,bronze,2024-11-17,7.0,,522.0,674.23
MKT_2f5a474f,CAMP_3428bd0e,PROD_a7bb2a7e,Produits de niche,pourcentage_remise,24.24,platine,2020-07-06,11.0,TV,5843.0,6902.78
MKT_c65fe6f6,CAMP_3428bd0e,PROD_6dc12e6d,Produits grand public,remboursement_immediat,5.4,platine,2020-05-23,12.0,email,13964.0,11529.14
MKT_4a5c1d56,CAMP_3428bd0e,PROD_0a288ca2,Produits grand public,pourcentage_remise,18.99,platine,2019-06-28,8.0,SMS,20089.0,17196.58
MKT_4ecf52b5,CAMP_e7b94ff2,PROD_d6697da1,,pourcentage_remise,6.64,Inconnu,2019-04-11,28.0,email,17083.0,18778.77
MKT_82aa5343,CAMP_e7b94ff2,PROD_0655782a,Produits grand public,produit_gratuit,103.0,bronze,2024-09-23,,TV,4320.0,4259.92
MKT_59a92d99,CAMP_e7b94ff2,PROD_3347d0c5,Produits grand public,Inconnu,,bronze,2016-05-15,12.0,SMS,5226.0,3965.53
MKT_7c677b64,CAMP_e7b94ff2,PROD_b7d97d8f,Produits de niche,pourcentage_remise,11.22,or,2025-07-20,19.0,SMS,17315.0,12580.85
MKT_9eac5413,CAMP_e7b94ff2,PROD_54459c7d,Produits de niche,Inconnu,,or,2019-10-08,7.0,SMS,16255.0,18139.07
MKT_cc8e635f,CAMP_cacd42f2,PROD_63d921bb,Produits grand public,remboursement_immediat,28.91,bronze,2019-09-08,12.0,SMS,11562.0,8558.35
MKT_87d5c9ba,CAMP_404e2990,PROD_63bbf3c6,Produits grand public,remboursement_immediat,22.82,Inconnu,2015-01-11,21.0,email,19384.0,15427.92
MKT_afca5e83,CAMP_404e2990,PROD_585fa6f0,Produits de niche,pourcentage_remise,11.7,or,2018-04-08,30.0,email,500.0,369.46
MKT_f31c879d,CAMP_21637d40,PROD_39002d3b,Produits grand public,pourcentage_remise,14.77,or,2017-07-04,11.0,SMS,8795.0,10209.97
MKT_8446c337,CAMP_21637d40,PROD_c33ce883,Produits grand public,remboursement_immediat,12.49,bronze,2016-05-31,19.0,email,11900.0,9878.09
MKT_630ee744,CAMP_21637d40,PROD_4aac8a0c,,Inconnu,,argent,2021-07-28,24.0,email,16861.0,14436.98
MKT_d9852b37,CAMP_c3d5984e,PROD_21cb6e2f,Produits grand public,Inconnu,,argent,2016-05-18,17.0,SMS,23155.0,18982.12
MKT_5865dfee,CAMP_c257497a,PROD_16d7b24f,Produits de niche,pourcentage_remise,21.55,platine,2020-04-26,11.0,TV,13769.0,12668.28
MKT_b487f8f2,CAMP_c257497a,PROD_4b9367a4,Produits grand public,produit_gratuit,14.17,argent,2018-12-05,25.0,TV,20672.0,20191.22
MKT_abe2417f,CAMP_c257497a,PROD_f3583a50,Produits de niche,remboursement_immediat,40.88,bronze,2023-06-08,30.0,email,10344.0,11855.72
MKT_f35982b0,CAMP_77d1353f,PROD_69b16fac,Produits grand public,pourcentage_remise,28.17,platine,2017-01-14,20.0,email,2125.0,1586.06
MKT_b4ef24c4,CAMP_77d1353f,PROD_7e282561,Produits grand public,produit_gratuit,289.61,argent,2019-05-13,20.0,email,4271.0,3594.92
MKT_3d9f9cc3,CAMP_77d1353f,PROD_fc589a62,Produits grand public,Inconnu,,bronze,2015-08-12,23.0,SMS,8696.0,10436.71
MKT_da787d9e,CAMP_3428bd0e,PROD_286c5081,Produits de niche,Inconnu,,platine,2019-10-13,23.0,email,1427.0,1075.63
MKT_5831f3cb,CAMP_3428bd0e,PROD_f79a0201,Produits grand public,remboursement_immediat,33.0,bronze,2020-08-18,17.0,TV,4808.0,3386.91
